iter	Passed	Remaining
0	147	146867
1	150	75128
2	153	51028
3	159	39597
4	162	32339
5	168	27892
6	173	24616
7	176	21901
8	179	19785
9	182	18065
10	186	16774
11	194	16004
12	197	15011
13	202	14247
14	208	13722
15	213	13128
16	219	12710
17	223	12198
18	227	11762
19	232	11373
20	238	11134
21	243	10823
22	256	10893
23	260	10600
24	264	10300
25	268	10056
26	271	9775
27	278	9659
28	281	9422
29	283	9174
30	286	8944
31	290	8794
32	292	8585
33	295	8389
34	297	8215
35	300	8058
36	304	7913
37	307	7773
38	310	7641
39	312	7496
40	314	7357
41	317	7240
42	322	7166
43	324	7058
44	327	6957
45	331	6872
46	336	6817
47	355	7057
48	363	7056
49	370	7039
50	375	6980
51	378	6904
52	383	6850
53	390	6832
54	394	6784
55	400	6758
56	405	6712
57	409	6645
58	426	6800
59	432	6776
60	437	6730
61	440	6666
62	443	6598
63	451	6609
64	458	6590
65	464	6573
66	467	6513
67	471	6459
68	473	6391
69	476	6324
70	482	6308
71	485	6252
72	487	6191
73	489	6130
74	493	6087
75	497	6044
76	499	5989
77	501	5933
78	504	5878
79	506	5826
80	513	5828
81	517	5790
82	520	5755
83	523	5711
84	526	5671
85	529	5626
86	531	5579
87	534	5538
88	539	5520
89	545	5516
90	548	5479
91	551	5439
92	554	5405
93	557	5375
94	560	5337
95	563	5302
96	565	5263
97	568	5232
98	571	5204
99	574	5174
100	577	5139
101	579	5104
102	582	5075
103	585	5045
104	588	5015
105	592	4996
106	597	4986
107	605	4999
108	609	4983
109	618	5008
110	638	5115
111	644	5106
112	647	5081
113	652	5070
114	656	5052
115	660	5031
116	665	5020
117	670	5011
118	675	4999
119	680	4987
120	695	5053
121	700	5043
122	705	5026
123	709	5011
124	712	4988
125	718	4983
126	721	4959
127	725	4939
128	730	4930
129	735	4921
130	740	4910
131	744	4897
132	748	4881
133	751	4859
134	754	4836
135	759	4822
136	762	4803
137	765	4781
138	768	4761
139	772	4744
140	779	4751
141	787	4757
142	791	4746
143	795	4725
144	797	4705
145	803	4701
146	808	4689
147	811	4669
148	814	4651
149	822	4658
150	838	4712
151	842	4703
152	850	4706
153	853	4687
154	857	4672
155	867	4690
156	871	4679
157	882	4701
158	896	4739
159	900	4725
160	903	4705
161	910	4711
162	914	4693
163	917	4675
164	920	4658
165	924	4644
166	927	4625
167	930	4606
168	933	4589
169	937	4577
170	940	4559
171	943	4542
172	946	4524
173	949	4509
174	955	4505
175	959	4490
176	962	4477
177	966	4462
178	970	4450
179	973	4433
180	976	4416
181	979	4400
182	982	4385
183	985	4371
184	988	4354
185	991	4339
186	994	4323
187	997	4306
188	1000	4292
189	1002	4274
190	1004	4256
191	1008	4242
192	1013	4238
193	1018	4230
194	1022	4219
195	1026	4209
196	1030	4200
197	1035	4195
198	1045	4206
199	1049	4196
200	1051	4181
201	1062	4198
202	1066	4188
203	1074	4194
204	1078	4180
205	1082	4171
206	1086	4161
207	1090	4150
208	1092	4135
209	1095	4122
210	1103	4125
211	1107	4114
212	1119	4136
213	1122	4122
214	1125	4108
215	1131	4105
216	1134	4095
217	1139	4086
218	1142	4075
219	1146	4065
220	1149	4052
221	1152	4038
